timestamp,channelTitle,id,title,viewCount,likeCount,commentCount,duration
2026-03-28 19:46:19,HugoX ChugoX,Clx4BzIuewE,Breve Historia y Origen de la Diablada en Puno (Resumen),15735,757,366,PT13M17S
2026-03-28 19:46:19,HugoX ChugoX,faQdv9iZbLU,"¿Qué país es dueño de la DIABLADA, CAPORALES, SAYA Y MORENADA?",125008,6441,3511,PT26M34S
2026-03-28 19:46:19,HugoX ChugoX,neBjaqCK-Zg,🍜 CHIFAGATE: RESUMEN COMPLETO,28101,1605,172,PT11M9S
2026-03-28 19:46:19,HugoX ChugoX,lgT_jzixuWY,"¿IRÁN PODRIA CONVERTIRSE EN UNA ""COREA DEL NORTE""?",20444,1079,151,PT11M38S
2026-03-28 19:46:19,HugoX ChugoX,ekOnNnUjWmA,¿QUÉ PASA CON PETROPERÚ? ANÁLISIS DETALLADO DESDE CERO,44670,2156,581,PT12M47S
2026-03-28 19:46:19,HugoX ChugoX,u3InerqIsHI,RESUMEN JUICIO A NICOLÁS MADURO. ¿Delcy Rodríguez lo traicionó?,66633,2903,327,PT12M49S
2026-03-28 19:46:19,HugoX ChugoX,2UYbYL8_agM,EL FUTURO DE VENEZUELA. Resumen completo y cuán legitimo es la intervención de EE.UU.,153699,7094,932,PT13M17S
2026-03-28 19:46:19,HugoX ChugoX,YINDNUmxaXk,LA TRAMPA DEL “REINFO” QUE CONSUME LA AMAZONÍA 🇵🇪,31542,1632,212,PT12M27S
2026-03-28 19:46:19,HugoX ChugoX,I9nXorsytKY,El Caso JEFFREY EPSTEIN explicado desde cero,120249,4832,297,PT13M15S
2026-03-28 19:46:19,HugoX ChugoX,4hBL4rGyIDo,¿El ISLAM invadió la Cultura Occidental? ¿Representa un Peligro?,40449,2235,2832,PT16M5S
2026-03-28 19:46:19,HugoX ChugoX,dS8c7ALp9II,SUPER GRIPE H3N2: LO QUE NADIE TE CUENTA,110287,4662,778,PT13M7S
2026-03-28 19:46:19,HugoX ChugoX,XWBPhLd9yW8,¿Es el CONGRESO el verdadero PODER del PERÚ 🇵🇪?,26360,1913,339,PT11M44S
2026-03-28 19:46:19,HugoX ChugoX,smjzS8LKbPg,FLAMENGO y PALMEIRAS: increíble caos en Lima previo a la final de la Copa Libertadores,28780,1390,342,PT10M13S
2026-03-28 19:46:19,HugoX ChugoX,SRYdXs3g21w,CASO PEDRO CASTILLO: DE LO COMPLEJO A LO AMBIGUO,47488,2327,664,PT11M44S
2026-03-28 19:46:19,HugoX ChugoX,tWAmLv8Mh-s,¿Por que condenaron a Martín Vizcarra? Te resumo su caso,88936,3315,1018,PT10M26S
2026-03-28 19:46:19,HugoX ChugoX,RF2W43yECYE,Necesito TÍTULO PROFESIONAL para DIVULGAR CIENCIA e HISTORIA,23471,1974,366,PT10M1S
2026-03-28 19:46:19,HugoX ChugoX,oR5dN8spen8,La ONPE me invitó a la Franja Electoral y esto fue lo que pasó. ,45492,2620,406,PT14M3S
2026-03-28 19:46:19,HugoX ChugoX,HYci-O7KRz8,TODO SOBRE LOS AGROQUÍMICOS. REGULACIÓN Y RIESGOS.,29763,2388,252,PT15M44S
